Assay,Group,Value
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-22,pfoA-,0
IL-4,Control,0
IL-4,Control,0
IL-4,Control,0.148909043
IL-4,Control,0.148909043
IL-4,Control,0.083278403
IL-4,Control,0.083278403
IL-4,Control,0
IL-4,Control,0
IL-4,Control,0
IL-4,Control,0
IL-4,ABX,0.477956461
IL-4,ABX,0.477956461
IL-4,ABX,0
IL-4,ABX,0
IL-4,ABX,0.915961715
IL-4,ABX,0.915961715
IL-4,ABX,0.039536114
IL-4,ABX,0.039536114
IL-4,ABX,0.36263834
IL-4,ABX,0.36263834
IL-4,pfoA+,0.582253527
IL-4,pfoA+,0.582253527
IL-4,pfoA+,0.53071683
IL-4,pfoA+,0.53071683
IL-4,pfoA+,0.288555484
IL-4,pfoA+,0.80442668
IL-4,pfoA+,0.80442668
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0.392156423
IL-4,pfoA+,0.392156423
IL-4,pfoA+,0.255654794
IL-4,pfoA+,0.255654794
IL-4,pfoA+,0.709278243
IL-4,pfoA+,0.709278243
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0
IL-4,pfoA+,0.4459944
IL-4,pfoA+,0.4459944
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0.437036001
IL-4,pfoA-,0.437036001
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0.050671366
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0.752046635
IL-4,pfoA-,0.752046635
IL-4,pfoA-,0.371198429
IL-4,pfoA-,0.371198429
IL-4,pfoA-,0.050671366
IL-4,pfoA-,0.232020971
IL-4,pfoA-,0.232020971
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0.223194084
IL-4,pfoA-,0.223194084
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-4,pfoA-,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,Control,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,ABX,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,0
IL-6,pfoA+,3.569691865
IL-6,pfoA+,3.569691865
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,1.531889054
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
IL-6,pfoA-,0
KC/GRO,Control,91.1708174
KC/GRO,Control,91.1708174
KC/GRO,Control,3.237183
KC/GRO,Control,3.237183
KC/GRO,Control,22.48592973
KC/GRO,Control,22.48592973
KC/GRO,Control,0
KC/GRO,Control,0
KC/GRO,Control,7.469570463
KC/GRO,Control,7.469570463
KC/GRO,ABX,237.7081197
KC/GRO,ABX,237.7081197
KC/GRO,ABX,80.27907723
KC/GRO,ABX,80.27907723
KC/GRO,ABX,275.863366
KC/GRO,ABX,275.863366
KC/GRO,ABX,77.44805273
KC/GRO,ABX,77.44805273
KC/GRO,ABX,142.6873079
KC/GRO,ABX,142.6873079
KC/GRO,pfoA+,300.6696868
KC/GRO,pfoA+,300.6696868
KC/GRO,pfoA+,0.598267123
KC/GRO,pfoA+,0.598267123
KC/GRO,pfoA+,509.3274706
KC/GRO,pfoA+,0
KC/GRO,pfoA+,0
KC/GRO,pfoA+,425.9263477
KC/GRO,pfoA+,425.9263477
KC/GRO,pfoA+,204.4980918
KC/GRO,pfoA+,204.4980918
KC/GRO,pfoA+,188.7696605
KC/GRO,pfoA+,188.7696605
KC/GRO,pfoA+,373.7522774
KC/GRO,pfoA+,373.7522774
KC/GRO,pfoA+,8.433250787
KC/GRO,pfoA+,8.433250787
KC/GRO,pfoA+,215.9631347
KC/GRO,pfoA+,215.9631347
KC/GRO,pfoA+,55.55151815
KC/GRO,pfoA+,178.0483846
KC/GRO,pfoA+,178.0483846
KC/GRO,pfoA+,97.85072934
KC/GRO,pfoA+,97.85072934
KC/GRO,pfoA+,81.07673919
KC/GRO,pfoA+,81.07673919
KC/GRO,pfoA+,97.15106141
KC/GRO,pfoA+,97.15106141
KC/GRO,pfoA-,109.6145572
KC/GRO,pfoA-,109.6145572
KC/GRO,pfoA-,225.2008457
KC/GRO,pfoA-,225.2008457
KC/GRO,pfoA-,225.5247299
KC/GRO,pfoA-,225.5247299
KC/GRO,pfoA-,148.992205
KC/GRO,pfoA-,288.3486468
KC/GRO,pfoA-,288.3486468
KC/GRO,pfoA-,87.7894707
KC/GRO,pfoA-,87.7894707
KC/GRO,pfoA-,146.7002076
KC/GRO,pfoA-,146.7002076
KC/GRO,pfoA-,251.9356215
KC/GRO,pfoA-,251.9356215
KC/GRO,pfoA-,166.1463127
KC/GRO,pfoA-,120.3015109
KC/GRO,pfoA-,120.3015109
KC/GRO,pfoA-,101.9514411
KC/GRO,pfoA-,101.9514411
KC/GRO,pfoA-,164.0308848
KC/GRO,pfoA-,164.0308848
KC/GRO,pfoA-,126.2822745
KC/GRO,pfoA-,126.2822745
KC/GRO,pfoA-,119.2307416
KC/GRO,pfoA-,119.2307416
KC/GRO,pfoA-,136.8396147
KC/GRO,pfoA-,136.8396147
TNF-a,Control,17.6755129
TNF-a,Control,17.6755129
TNF-a,Control,0
TNF-a,Control,0
TNF-a,Control,10.58025981
TNF-a,Control,10.58025981
TNF-a,Control,0
TNF-a,Control,0
TNF-a,Control,12.79795884
TNF-a,Control,12.79795884
TNF-a,ABX,32.54096849
TNF-a,ABX,32.54096849
TNF-a,ABX,14.65537436
TNF-a,ABX,14.65537436
TNF-a,ABX,49.61544826
TNF-a,ABX,49.61544826
TNF-a,ABX,10.66664325
TNF-a,ABX,10.66664325
TNF-a,ABX,22.1289339
TNF-a,ABX,22.1289339
TNF-a,pfoA+,45.46347073
TNF-a,pfoA+,45.46347073
TNF-a,pfoA+,4.425983851
TNF-a,pfoA+,4.425983851
TNF-a,pfoA+,90.72776558
TNF-a,pfoA+,0
TNF-a,pfoA+,0
TNF-a,pfoA+,92.54947099
TNF-a,pfoA+,92.54947099
TNF-a,pfoA+,33.33531648
TNF-a,pfoA+,33.33531648
TNF-a,pfoA+,28.77051805
TNF-a,pfoA+,28.77051805
TNF-a,pfoA+,40.02803684
TNF-a,pfoA+,40.02803684
TNF-a,pfoA+,19.73533994
TNF-a,pfoA+,19.73533994
TNF-a,pfoA+,39.66920383
TNF-a,pfoA+,39.66920383
TNF-a,pfoA+,16.85377167
TNF-a,pfoA+,52.64708784
TNF-a,pfoA+,52.64708784
TNF-a,pfoA+,13.27761605
TNF-a,pfoA+,13.27761605
TNF-a,pfoA+,35.70333666
TNF-a,pfoA+,35.70333666
TNF-a,pfoA+,24.75751862
TNF-a,pfoA+,24.75751862
TNF-a,pfoA-,13.26635893
TNF-a,pfoA-,13.26635893
TNF-a,pfoA-,44.53712031
TNF-a,pfoA-,44.53712031
TNF-a,pfoA-,28.54524903
TNF-a,pfoA-,28.54524903
TNF-a,pfoA-,20.13383607
TNF-a,pfoA-,31.67222633
TNF-a,pfoA-,31.67222633
TNF-a,pfoA-,7.648962869
TNF-a,pfoA-,7.648962869
TNF-a,pfoA-,20.69069702
TNF-a,pfoA-,20.69069702
TNF-a,pfoA-,37.5864472
TNF-a,pfoA-,37.5864472
TNF-a,pfoA-,25.67284113
TNF-a,pfoA-,47.70193659
TNF-a,pfoA-,47.70193659
TNF-a,pfoA-,15.248211
TNF-a,pfoA-,15.248211
TNF-a,pfoA-,16.85375301
TNF-a,pfoA-,16.85375301
TNF-a,pfoA-,22.53672522
TNF-a,pfoA-,22.53672522
TNF-a,pfoA-,13.85701112
TNF-a,pfoA-,13.85701112
TNF-a,pfoA-,22.4061857
TNF-a,pfoA-,22.4061857
