Group,SNP
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
Clonal,0
NC,109
NC,709
NC,444
NC,462
NC,1143
NC,428
NC,548
NC,430
NC,404
NC,381
NC,409
NC,376
NC,483
NC,183
NC,440
NC,197
NC,511
NC,727
NC,349
NC,474
NC,378
NC,570
NC,924
NC,675
NC,737
NC,393
NC,442
NC,1159
NC,483
NC,510
NC,720
NC,531
NC,439
NC,470
NC,406
NC,519
NC,412
NC,461
NC,506
NC,198
NC,203
NC,441
NC,435
NC,470
NC,1127
NC,500
NC,493
NC,1119
NC,539
NC,498
NC,438
NC,460
NC,530
NC,472
NC,403
NC,452
NC,428
NC,727
NC,532
NC,521
NC,439
NC,403
NC,400
NC,432
NC,428
NC,510
NC,440
NC,448
NC,394
NC,518
NC,385
NC,1173
NC,473
NC,508
NC,498
NC,399
NC,506
NC,109
NC,688
NC,432
NC,451
NC,1158
NC,385
NC,542
NC,404
NC,397
NC,358
NC,402
NC,364
NC,454
NC,161
NC,423
NC,187
NC,492
NC,720
