Lineage,SNP
BL,1308
BL,2366
BL,1426
BL,1392
BL,665
BL,634
BL,599
BL,677
BL,1366
BL,1291
BL,653
BL,659
BL,645
BL,710
BL,616
BL,1316
BL,742
BL,568
BL,608
BL,761
BL,657
BL,617
BL,721
BL,759
BL,1661
BL,718
BL,709
BL,1311
BL,633
BL,1345
BL,733
BL,643
BL,1310
BL,661
BL,1273
BL,643
BL,730
BL,758
BL,687
BL,631
BL,665
BL,637
BL,707
BL,686
BL,534
BL,1292
BL,915
BL,748
BL,728
BL,610
BL,776
BL,652
BL,752
BL,726
BL,628
BL,670
BL,746
BL,626
BL,759
BL,1298
BL,1303
BL,676
BL,630
BL,752
BL,707
BL,662
BL,725
BL,662
BL,701
BL,625
BL,653
BL,695
BL,567
BL,830
BL,722
BL,659
BL,581
BL,1336
BL,1096
BL,634
BL,1358
BL,655
BL,655
BL,1900
BL,691
BL,1317
BL,619
BL,1679
BL,652
BL,660
BL,651
BL,686
BL,1239
BL,631
BL,1319
BL,622
BL,706
BL,715
BL,680
BL,1231
BL,759
BL,732
BL,623
BL,705
BL,748
BL,790
BL,675
BL,599
BL,682
BL,745
BL,799
BL,1638
BL,660
BL,676
BL,652
BL,718
BL,655
BL,593
BL,603
BL,596
BL,693
BL,657
BL,628
BL,1865
BL,606
BL,685
BL,680
BL,670
BL,648
BL,1324
BL,642
BL,1659
BL,668
BL,674
BL,1318
BL,679
BL,1656
BL,1322
BL,745
BL,750
BL,665
BL,651
BL,1305
BL,1910
BL,1314
BL,662
BL,654
BL,666
BL,655
BL,637
BL,640
BL,664
BL,762
BL,765
BL,1596
BL,1583
BL,712
BL,1337
BL,661
BL,687
BL,724
BL,622
BL,631
BL,602
BL,611
BL,599
BL,1331
BL,683
BL,742
BL,649
BL,745
BL,685
BL,669
BL,742
BL,529
BL,599
BL,654
BL,617
BL,625
BL,798
BL,744
BL,683
BL,680
BL,599
BL,718
BL,670
BL,1275
BL,567
BL,652
BL,666
BL,718
BL,632
BL,577
BL,799
BL,652
BL,623
BL,1912
BL,650
BL,1316
BL,1332
BL,1312
BL,1316
BL,1339
BL,647
BL,592
BL,1329
BL,651
BL,723
BL,772
BL,1870
BL,643
BL,1896
BL,626
BL,1331
BL,644
BL,660
BL,751
BL,762
BL,692
BL,639
BL,1882
BL,1299
BL,695
BL,636
BL,673
BL,670
BL,640
BL,733
BL,1340
BL,620
BL,505
BL,688
BL,1327
BL,773
BL,1298
BL,569
BL,632
BL,635
BL,1858
BL,684
BL,657
BL,1308
BL,1292
BL,1293
BL,1264
BL,1331
BL,1835
BL,1291
BL,1267
BL,1333
BL,1337
BL,1313
BL,1286
BL,1354
BL,1279
BL,1795
BL,1350
BL,1330
BL,1265
BL,1354
BL,1328
BL,1257
BL,1324
BL,1324
BL,1337
BL,1296
BL,1291
BL,1291
BL,1623
BL,1339
BL,1229
BL,1345
BL,1317
BL,1302
BL,1345
BL,1287
BL,1372
BL,1354
BL,1229
BL,1326
BL,1301
BL,1334
BL,1322
BL,1253
BL,1336
BL,1349
BL,1352
BL,1350
BL,1272
BL,1270
BL,1791
BL,1499
BL,1302
BL,1341
BL,1366
BL,1315
BL,1328
BL,1299
BL,1284
BL,1330
BL,1277
BL,1281
BL,1220
BL,1302
BL,1250
BL,1285
BL,1289
BL,1359
BL,1802
BL,1273
BL,1318
BL,1267
BL,1281
BL,1344
BL,1367
BL,1334
BL,1291
BL,1239
BL,1196
BL,1254
BL,1241
BL,1343
BL,1292
BL,1264
BL,1399
BL,1310
BL,1339
BL,1284
BL,1806
BL,1654
BL,1317
BL,1334
BL,1278
BL,1830
BL,1319
BL,1271
BL,1310
BL,1323
BL,1321
BL,2075
BL,1328
BL,1353
BL,1338
BL,1838
BL,1297
BL,1699
BL,1324
BL,1371
BL,1334
BL,1265
BL,1208
BL,1275
BL,1789
BL,1298
BL,1343
BL,1341
BL,1289
BL,1404
BL,1303
BL,1361
BL,1253
BL,1190
BL,1352
BL,1327
BL,1251
BL,1286
BL,1324
BL,1194
BL,1308
BL,1355
BL,1667
BL,1351
BL,1248
BL,1318
BL,1345
BL,1232
BL,1363
BL,1225
BL,1352
BL,1276
BL,1322
BL,1325
BL,1347
BL,1293
BL,1354
BL,1272
BL,1278
BL,2060
BL,1293
BL,1346
BL,1381
BL,1279
BL,1317
BL,1823
BL,1275
BL,1700
BL,1201
BL,1207
BL,1808
BL,1253
BL,1719
BL,1800
BL,1311
BL,1303
BL,1300
BL,1216
BL,1278
BL,1794
BL,2076
BL,1295
BL,1797
BL,1202
BL,1242
BL,1342
BL,1253
BL,1188
BL,1314
BL,1288
BL,1349
BL,1318
BL,1351
BL,1654
BL,1330
BL,1651
BL,1248
BL,1799
BL,1238
BL,1345
BL,1322
BL,1290
BL,1330
BL,1330
BL,1324
BL,1374
BL,1350
BL,1310
BL,1308
BL,1268
BL,1817
BL,1375
BL,1407
BL,1320
BL,1299
BL,1341
BL,1235
BL,1291
BL,1335
BL,1290
BL,1327
BL,1327
BL,1330
BL,1195
BL,1271
BL,1334
BL,1344
BL,1322
BL,1291
BL,1259
BL,1282
BL,1316
BL,1334
BL,1340
BL,1264
BL,1300
BL,1315
BL,1272
BL,1348
BL,1312
BL,1365
BL,1276
BL,1282
BL,1351
BL,1290
BL,1270
BL,1257
BL,1265
BL,2082
BL,1362
BL,1300
BL,1795
BL,1802
BL,1787
BL,1811
BL,1303
BL,1339
BL,1818
BL,1267
BL,1313
BL,1816
BL,1213
BL,1304
BL,1330
BL,1335
BL,1310
BL,2036
BL,1258
BL,2070
BL,1259
BL,1804
BL,1335
BL,1211
BL,1354
BL,1322
BL,1319
BL,1342
