Strain,Group,Lineage,Lineage,Day,CFU,Percentage
IQ153,pfoA+,Lineage 7,7,2,9600000,29.09090909
IQ153,pfoA+,Lineage 7,7,4,2600000,7.878787879
IQ153,pfoA+,Lineage 7,7,6,220000,0.666666667
IQ153,pfoA+,Lineage 7,7,8,136000,0.412121212
IQ153,pfoA+,Lineage 7,7,10,83000,0.251515152
IQ153,pfoA+,Lineage 7,7,12,36000,0.109090909
IQ153,pfoA+,Lineage 7,7,14,4500,0.013636364
LH115,pfoA+,Lineage 5,5,0,130000000,100
LH115,pfoA+,Lineage 5,5,2,3300000,2.538461538
LH115,pfoA+,Lineage 5,5,4,263000,0.202307692
LH115,pfoA+,Lineage 5,5,6,46000,0.035384615
LH115,pfoA+,Lineage 5,5,8,16000,0.012307692
LH115,pfoA+,Lineage 5,5,10,2600,0.002
LH115,pfoA+,Lineage 5,5,12,2900,0.002230769
LH115,pfoA+,Lineage 5,5,14,760,0.000584615
LH043,pfoA-,Lineage 6,6,0,60000000,100
LH043,pfoA-,Lineage 6,6,2,4300000,7.166666667
LH043,pfoA-,Lineage 6,6,4,1000000,1.666666667
LH043,pfoA-,Lineage 6,6,6,230000,0.383333333
LH043,pfoA-,Lineage 6,6,8,123000,0.205
LH043,pfoA-,Lineage 6,6,10,4800,0.008
LH043,pfoA-,Lineage 6,6,12,4000,0.006666667
LH043,pfoA-,Lineage 6,6,14,1600,0.002666667
IQ147,pfoA-,Lineage 5,5,0,17000000,100
IQ147,pfoA-,Lineage 5,5,2,1600000,9.411764706
IQ147,pfoA-,Lineage 5,5,4,130000,0.764705882
IQ147,pfoA-,Lineage 5,5,6,36000,0.211764706
IQ147,pfoA-,Lineage 5,5,8,30000,0.176470588
IQ147,pfoA-,Lineage 5,5,10,3100,0.018235294
IQ147,pfoA-,Lineage 5,5,12,760,0.004470588
IQ147,pfoA-,Lineage 5,5,14,0,0
IQ133,pfoA-,Lineage 5,5,0,29000000,100
IQ133,pfoA-,Lineage 5,5,2,9300000,32.06896552
IQ133,pfoA-,Lineage 5,5,4,2000000,6.896551724
IQ133,pfoA-,Lineage 5,5,6,116000,0.4
IQ133,pfoA-,Lineage 5,5,8,80000,0.275862069
IQ133,pfoA-,Lineage 5,5,10,86000,0.296551724
IQ133,pfoA-,Lineage 5,5,12,1700,0.005862069
IQ133,pfoA-,Lineage 5,5,14,700,0.002413793
IQ002,pfoA+,Lineage 3,3,0,230000000,100
IQ002,pfoA+,Lineage 3,3,2,8300000,3.608695652
IQ002,pfoA+,Lineage 3,3,4,110000,0.047826087
IQ002,pfoA+,Lineage 3,3,6,20000,0.008695652
IQ002,pfoA+,Lineage 3,3,8,10000,0.004347826
IQ002,pfoA+,Lineage 3,3,10,5100,0.002217391
IQ002,pfoA+,Lineage 3,3,12,2900,0.00126087
IQ002,pfoA+,Lineage 3,3,14,2130,0.000926087
IQ101,pfoA+,Lineage 3,3,0,20000000,100
IQ101,pfoA+,Lineage 3,3,2,246000,1.23
IQ101,pfoA+,Lineage 3,3,4,60000,0.3
IQ101,pfoA+,Lineage 3,3,6,13000,0.065
IQ101,pfoA+,Lineage 3,3,8,16000,0.08
IQ101,pfoA+,Lineage 3,3,10,2500,0.0125
IQ101,pfoA+,Lineage 3,3,12,1500,0.0075
IQ101,pfoA+,Lineage 3,3,14,900,0.0045
IQ093,pfoA-,Lineage 5,5,0,11300000,100
IQ093,pfoA-,Lineage 5,5,2,243000,2.150442478
IQ093,pfoA-,Lineage 5,5,4,23000,0.203539823
IQ093,pfoA-,Lineage 5,5,6,5100,0.045132743
IQ093,pfoA-,Lineage 5,5,8,4100,0.036283186
IQ093,pfoA-,Lineage 5,5,10,2200,0.019469027
IQ093,pfoA-,Lineage 5,5,12,2000,0.017699115
IQ093,pfoA-,Lineage 5,5,14,1800,0.015929204
IQ078,pfoA+,Lineage 1,1,0,42000000,100
IQ078,pfoA+,Lineage 1,1,2,3300000,7.857142857
IQ078,pfoA+,Lineage 1,1,4,73000,0.173809524
IQ078,pfoA+,Lineage 1,1,6,5300,0.012619048
IQ078,pfoA+,Lineage 1,1,8,2400,0.005714286
IQ078,pfoA+,Lineage 1,1,10,1230,0.002928571
IQ078,pfoA+,Lineage 1,1,12,730,0.001738095
IQ078,pfoA+,Lineage 1,1,14,230,0.000547619
LHN006,pfoA+,Lineage 3,3,0,230000000,100
LHN006,pfoA+,Lineage 3,3,2,4300000,1.869565217
LHN006,pfoA+,Lineage 3,3,4,2600000,1.130434783
LHN006,pfoA+,Lineage 3,3,6,190000,0.082608696
LHN006,pfoA+,Lineage 3,3,8,96000,0.04173913
LHN006,pfoA+,Lineage 3,3,10,40000,0.017391304
LHN006,pfoA+,Lineage 3,3,12,10000,0.004347826
LHN006,pfoA+,Lineage 3,3,14,2500,0.001086957
LH057,pfoA+,Lineage 7,7,0,100000000,100
LH057,pfoA+,Lineage 7,7,2,12300000,12.3
LH057,pfoA+,Lineage 7,7,4,5300000,5.3
LH057,pfoA+,Lineage 7,7,6,260000,0.26
LH057,pfoA+,Lineage 7,7,8,146000,0.146
LH057,pfoA+,Lineage 7,7,10,73000,0.073
LH057,pfoA+,Lineage 7,7,12,30000,0.03
LH057,pfoA+,Lineage 7,7,14,2200,0.0022
LH101,pfoA+,Lineage 7,7,0,47000000,100
LH101,pfoA+,Lineage 7,7,2,15600000,33.19148936
LH101,pfoA+,Lineage 7,7,4,3300000,7.021276596
LH101,pfoA+,Lineage 7,7,6,200000,0.425531915
LH101,pfoA+,Lineage 7,7,8,270000,0.574468085
LH101,pfoA+,Lineage 7,7,10,230000,0.489361702
LH101,pfoA+,Lineage 7,7,12,96000,0.204255319
LH101,pfoA+,Lineage 7,7,14,13000,0.027659574
IQ192,pfoA+,Lineage 7,7,0,130000000,100
IQ192,pfoA+,Lineage 7,7,2,22000000,16.92307692
IQ192,pfoA+,Lineage 7,7,4,6300000,4.846153846
IQ192,pfoA+,Lineage 7,7,6,4000000,3.076923077
IQ192,pfoA+,Lineage 7,7,8,1300000,1
IQ192,pfoA+,Lineage 7,7,10,230000,0.176923077
IQ192,pfoA+,Lineage 7,7,12,46000,0.035384615
IQ192,pfoA+,Lineage 7,7,14,26000,0.02
IQ037,pfoA-,Lineage 6,6,0,260000000,100
IQ037,pfoA-,Lineage 6,6,2,15600000,6
IQ037,pfoA-,Lineage 6,6,4,9000000,3.461538462
IQ037,pfoA-,Lineage 6,6,6,170000,0.065384615
