Group,Lineage,Time,Value
PFO-,Lineage 5,48,32.06896552
PFO-,Lineage 5,96,6.896551724
PFO-,Lineage 5,144,0.4
PFO-,Lineage 5,192,0.275862069
PFO-,Lineage 5,240,0.296551724
PFO-,Lineage 5,288,0.005862069
PFO-,Lineage 5,336,0.002413793
PFO+,Lineage 3,0,100
PFO+,Lineage 3,48,3.608695652
PFO+,Lineage 3,96,0.047826087
PFO+,Lineage 3,144,0.008695652
PFO+,Lineage 3,192,0.004347826
PFO+,Lineage 3,240,0.002217391
PFO+,Lineage 3,288,0.00126087
PFO+,Lineage 3,336,0.000926087
PFO+,Lineage 3,0,100
PFO+,Lineage 3,48,1.23
PFO+,Lineage 3,96,0.3
PFO+,Lineage 3,144,0.065
PFO+,Lineage 3,192,0.08
PFO+,Lineage 3,240,0.0125
PFO+,Lineage 3,288,0.0075
PFO+,Lineage 3,336,0.0045
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,2.150442478
PFO-,Lineage 5,96,0.203539823
PFO-,Lineage 5,144,0.045132743
PFO-,Lineage 5,192,0.036283186
PFO-,Lineage 5,240,0.019469027
PFO-,Lineage 5,288,0.017699115
PFO-,Lineage 5,336,0.015929204
PFO+,Lineage 1,0,100
PFO+,Lineage 1,48,7.857142857
PFO+,Lineage 1,96,0.173809524
PFO+,Lineage 1,144,0.012619048
PFO+,Lineage 1,192,0.005714286
PFO+,Lineage 1,240,0.002928571
PFO+,Lineage 1,288,0.001738095
PFO+,Lineage 1,336,0.000547619
PFO+,Lineage 3,0,100
PFO+,Lineage 3,48,1.869565217
PFO+,Lineage 3,96,1.130434783
PFO+,Lineage 3,144,0.082608696
PFO+,Lineage 3,192,0.04173913
PFO+,Lineage 3,240,0.017391304
PFO+,Lineage 3,288,0.004347826
PFO+,Lineage 3,336,0.001086957
PFO+,Lineage 7,0,100
PFO+,Lineage 7,48,12.3
PFO+,Lineage 7,96,5.3
PFO+,Lineage 7,144,0.26
PFO+,Lineage 7,192,0.146
PFO+,Lineage 7,240,0.073
PFO+,Lineage 7,288,0.03
PFO+,Lineage 7,336,0.0022
PFO+,Lineage 7,0,100
PFO+,Lineage 7,48,33.19148936
PFO+,Lineage 7,96,7.021276596
PFO+,Lineage 7,144,0.425531915
PFO+,Lineage 7,192,0.574468085
PFO+,Lineage 7,240,0.489361702
PFO+,Lineage 7,288,0.204255319
PFO+,Lineage 7,336,0.027659574
PFO+,Lineage 7,0,100
PFO+,Lineage 7,48,16.92307692
PFO+,Lineage 7,96,4.846153846
PFO+,Lineage 7,144,3.076923077
PFO+,Lineage 7,192,1
PFO+,Lineage 7,240,0.176923077
PFO+,Lineage 7,288,0.035384615
PFO+,Lineage 7,336,0.02
PFO-,Lineage 6,0,100
PFO-,Lineage 6,48,6
PFO-,Lineage 6,96,3.461538462
PFO-,Lineage 6,144,0.065384615
PFO-,Lineage 6,192,0.038461538
PFO-,Lineage 6,240,0.031923077
PFO-,Lineage 6,288,0.015384615
PFO-,Lineage 6,336,0.001230769
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,0.192028986
PFO-,Lineage 5,96,0.017028986
PFO-,Lineage 5,144,0.003623188
PFO-,Lineage 5,192,0.000471014
PFO-,Lineage 5,240,0.0000001
PFO-,Lineage 5,288,0.0000001
PFO-,Lineage 5,336,0.0000001
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,1.538461538
PFO-,Lineage 5,96,0.002153846
PFO-,Lineage 5,144,0.000538462
PFO-,Lineage 5,192,0.000407692
PFO-,Lineage 5,240,0.0000001
PFO-,Lineage 5,288,0.0000001
PFO-,Lineage 5,336,0.0000001
PFO-,Lineage 5,0,100
PFO-,Lineage 5,48,0.451612903
